NroTrx;customerid;total;useragentbrowser;useragentoperatingsystem;useragentdevice;diasem
P025605;65264;78.5;Mobile Safari;iOS;iPhone;Vie
P025606;65245;94;Firefox;Windows;other;Vie
P025607;35753;54.5;Chrome Mobile;Android;other;Vie
P025608;58508;67;Chrome;Windows;other;Vie
P025609;46849;174.5;Chrome Mobile;Android;other;Vie
P025610;38041;66.5;Chrome;Windows;other;Vie
P025611;65244;56;Samsung Internet;Android;Samsung;Vie
P025612;38774;56.5;Chrome;Windows;other;Vie
P025613;50107;54.5;Chrome Mobile;Android;other;Vie
P025614;44553;58;Chrome Mobile;Android;other;Vie
P025615;47829;96;Chrome Mobile;Android;other;Vie
P025616;65277;71;Chrome Mobile;Android;other;Vie
P025617;50504;99.5;Mobile Safari;iOS;iPhone;Vie
P025618;42842;110.5;Safari;Mac OS X;other;Vie
P025619;43697;80;Mobile Safari;iOS;iPhone;Vie
P025620;34915;69;Chrome;Windows;other;Vie
P025621;47829;54;Chrome Mobile;Android;other;Vie
P025622;38856;61.5;Chrome Mobile;Android;other;Vie
P025623;65274;63;Chrome Mobile;Android;other;Vie
P025624;65261;103;Mobile Safari;iOS;iPhone;Vie
P025625;65271;134.5;Chrome Mobile;Android;other;Vie
P025626;33833;342;Chrome;Mac OS X;other;Vie
P025627;33864;119.5;Mobile Safari;iOS;iPhone;Vie
P025628;46103;150;Chrome;Mac OS X;other;Vie
P025629;64951;67;Chrome;Windows;other;Vie
P025630;65016;120;Chrome;Windows;other;Vie
P025631;34966;54;Chrome;Windows;other;Vie
P025632;44166;79.5;Chrome;Windows;other;Vie
P025633;65290;53.5;Chrome;Windows;other;Vie
P025634;44330;54;Chrome;Windows;other;Vie
P025635;65292;53.5;Mobile Safari;iOS;iPhone;Vie
P025636;65284;56;Mobile Safari;iOS;iPhone;Vie
P025637;65203;63;Mobile Safari;WKWebView;iOS;Vie
P025638;38856;78;Chrome Mobile;Android;other;Vie
P025639;61058;80.5;Chrome;Windows;other;Vie
P025640;65294;79;Chrome;Windows;other;Vie
P025641;64390;67.5;Mobile Safari;iOS;iPhone;Vie
P025642;65299;59;Chrome;Windows;other;Vie
P025643;49028;72;Mobile Safari;iOS;iPhone;Vie
P025644;65281;67;Chrome;Windows;other;Vie
P025645;50405;135;Chrome Mobile;Android;other;Vie
P025646;65296;124;Chrome;Windows;other;Vie
P025647;43069;106;Chrome Mobile;Android;other;Vie
P025648;62409;57;Chrome;Windows;other;Vie
P025649;37001;150;Chrome Mobile iOS;iOS;iPhone;Vie
P025650;65306;146;Chrome Mobile iOS;iOS;iPhone;Vie
P025651;49040;88;Chrome;Windows;other;Vie
P025652;65309;107;Firefox;Windows;other;Vie
P025653;41689;142;Safari;Mac OS X;other;Vie
P025654;47233;114.5;Firefox;Windows;other;Vie
P025655;65310;332;Chrome;Windows;other;Vie
P025656;36239;54;Chrome Mobile iOS;iOS;iPhone;Vie
P025657;65312;53;Mobile Safari;iOS;iPhone;Vie
P025658;50659;118;Mobile Safari;iOS;iPhone;Vie
P025659;65303;107.5;Chrome;Windows;other;Vie
P025660;65307;74.5;Chrome Mobile;Android;other;Vie
P025661;42856;114;Chrome;Windows;other;Vie
P025662;65241;209;Chrome;Windows;other;Vie
P025663;62900;57;Chrome;Windows;other;Vie
P025664;45527;61;Chrome;Windows;other;Vie
P025665;65320;84;Chrome;Windows;other;Vie
P025666;65317;96.5;Mobile Safari;iOS;iPhone;Vie
P025667;65237;108.5;Chrome;Windows;other;Vie
P025668;50827;169.5;Chrome;Windows;other;Vie
P025669;43678;97;Mobile Safari;iOS;iPhone;Vie
P025670;39021;111.5;Mobile Safari;iOS;iPhone;Vie
P025671;65324;123.5;Chrome Mobile iOS;iOS;iPhone;Vie
P025672;53395;67;Chrome;Mac OS X;other;Vie
P025673;36675;108;Chrome;Windows;other;Vie
P025674;47727;107;Chrome;Windows;other;Vie
P025675;42162;68;Chrome;Windows;other;Vie
P025676;65330;67.5;Chrome Mobile iOS;iOS;iPhone;Vie
P025677;33754;75;Mobile Safari;iOS;iPhone;Vie
P025678;36308;84;Mobile Safari;iOS;iPhone;Vie
P025679;43852;53.5;Chrome;Windows;other;Vie
P025680;50405;92;Chrome Mobile;Android;other;Vie
P025681;53202;95;Chrome;Windows;other;Vie
P025682;46129;52;Chrome;Android;other;Vie
P025683;65328;108.5;Chrome;Windows;other;Vie
P025684;65342;121;Chrome;Windows;other;Vie
P025685;47954;55;Chrome Mobile;Android;other;Vie
P025686;40483;55;Chrome;Windows;other;Vie
P025687;65340;151;Mobile Safari;WKWebView;iOS;Vie
P025688;37931;79.5;Chrome Mobile;Android;other;Vie
P025689;34095;52.5;Chrome;Windows;other;Vie
P025690;65337;106.5;Chrome;Windows;other;Vie
P025691;58178;138;Chrome;Windows;other;Vie
P025692;36438;80;Chrome Mobile;Android;other;Vie
P025693;64956;110.5;Chrome Mobile;Android;other;Vie
P025694;45074;55;Chrome Mobile;Android;other;Vie
P025695;43001;126;Chrome;Windows;other;Vie
P025696;65352;113.5;Chrome;Windows;other;Vie
P025697;40484;260;Chrome;Windows;other;Vie
P025698;65346;178;Samsung Internet;Android;Samsung;Vie
P025699;65355;59;Chrome;Windows;other;Vie
P025700;61720;109.5;Chrome;Windows;other;Vie
P025701;65349;50.5;Chrome;Windows;other;Vie
P025702;44399;69;Chrome;Windows;other;Vie
P025703;65353;60;Mobile Safari;iOS;iPhone;Vie
P025704;65356;57;Chrome;Windows;other;Vie
P025705;65345;53;Chrome Mobile;Android;Moto;Vie
P025706;57640;69;Mobile Safari;iOS;iPhone;Vie
P025707;45380;107;Safari;Mac OS X;other;Vie
P025708;40012;109.5;Chrome;Windows;other;Vie
P025709;65318;53.5;Chrome Mobile;Android;other;Vie
P025710;65329;139.5;Mobile Safari;iOS;iPhone;Vie
P025711;65316;68;Chrome Mobile;Android;other;Vie
P025712;59558;54;Mobile Safari;iOS;iPhone;Vie
P025713;65368;54.5;Facebook;Android;Samsung;Vie
P025714;57426;97.5;Mobile Safari;iOS;iPhone;Vie
P025715;62302;55;Chrome;Windows;other;Vie
P025716;36358;283;Chrome;Windows;other;Vie
P025717;35882;82;Mobile Safari;iOS;iPad;Vie
P025718;45687;181;Safari;Mac OS X;other;Vie
P025719;41131;65;Chrome;Mac OS X;other;Vie
P025720;47255;98.5;Chrome;Windows;other;Vie
P025721;65379;54.5;Chrome;Windows;other;Vie
P025722;65229;141;Samsung Internet;Android;Samsung;Vie
P025723;50799;182;Samsung Internet;Android;Samsung;Vie
P025724;50740;68;Chrome;Windows;other;Vie
P025725;43931;63;Chrome Mobile;Android;other;Vie
P025726;34704;104.5;Chrome;Windows;other;Vie
P025727;65378;119;Chrome;Windows;other;Vie
P025728;37989;111;Chrome;Windows;other;Vie
P025729;65373;52;Chrome;Windows;other;Vie
P025730;45334;128.5;Facebook;Android;Samsung;Vie
P025731;47584;121;Chrome;Windows;other;Vie
P025732;52098;84;Chrome Mobile iOS;iOS;iPad;Vie
P025733;42642;66;Chrome Mobile iOS;iOS;iPhone;Vie
P025734;65385;227.5;Chrome;Mac OS X;other;Vie
P025735;34930;245;Mobile Safari;iOS;iPhone;Vie
P025736;38538;82;Mobile Safari;WKWebView;iOS;Vie
P025737;35136;203;Chrome;Windows;other;Vie
P025738;40185;80;Chrome Mobile;Android;other;Vie
P025739;65393;67.5;Chrome Mobile;Android;other;Vie
P025740;65371;107;Chrome Mobile;Android;other;Vie
P025741;65381;125;Chrome;Windows;other;Vie
P025742;65387;93;Mobile Safari;iOS;iPhone;Vie
P025743;65384;52.5;Chrome;Windows;other;Vie
P025744;65397;67.5;Chrome;Windows;other;Vie
P025745;63877;169.5;Mobile Safari;iOS;iPhone;Vie
P025746;57866;53.5;Chrome;Windows;other;Vie
P025747;65394;54;Chrome;Windows;other;Vie
P025748;49279;127;Chrome;Windows;other;Vie
P025749;65015;124;Mobile Safari;iOS;iPhone;Vie
P025750;64454;93;Chrome;Windows;other;Vie
P025751;65406;53;Chrome;Windows;other;Vie
P025752;35848;130;Chrome;Windows;other;Vie
P025753;56116;52.5;Chrome Mobile;Android;other;Vie
P025754;59453;94.5;Chrome;Windows;other;Vie
P025755;45275;80.5;Chrome;Windows;other;Vie
P025756;42670;86;Chrome Mobile;Android;other;Vie
P025757;41882;53;Safari;Mac OS X;other;Vie
P025758;65407;107;Chrome;Windows;other;Vie
P025759;39917;60;Chrome;Windows;other;Vie
P025760;38270;65.5;Chrome;Windows;other;Vie
P025761;34929;94;Chrome;Windows;other;Vie
P025762;51559;209.5;Mobile Safari;iOS;iPhone;Vie
P025763;65395;74;Chrome;Windows;other;Vie
P025764;47853;97;Chrome;Windows;other;Vie
P025765;65400;62;Samsung Internet;Android;Samsung;Vie
P025766;64776;62;Chrome;Mac OS X;other;Vie
P025767;37208;183.5;Mobile Safari;iOS;iPhone;Vie
P025768;65417;190.5;Mobile Safari;iOS;iPhone;Vie
P025769;44188;120.5;Chrome;Windows;other;Vie
P025770;65416;112;Mobile Safari;iOS;iPhone;Vie
P025771;65422;52;Chrome;Windows;other;Vie
P025772;40042;122.5;Chrome Mobile;Android;other;Vie
P025773;64776;53.5;Chrome;Mac OS X;other;Vie
P025774;65420;54;Mobile Safari;iOS;iPhone;Vie
P025775;65425;65;Facebook;Android;Lenovo;Vie
P025776;51841;50.5;Chrome;Windows;other;Vie
P025777;37084;71.5;Chrome;Windows;other;Vie
P025778;44736;118.5;Chrome;Windows;other;Vie
P025779;44661;149;Chrome;Windows;other;Vie
P025780;38501;81.5;Chrome Mobile;Android;other;Vie
P025781;65409;62;Chrome;Windows;other;Vie
P025782;65413;96;Chrome Mobile;Android;other;Vie
P025783;39667;119;Safari;Mac OS X;other;Vie
P025784;65432;59.5;Chrome;Windows;other;Vie
P025785;50242;59.5;Chrome;Windows;other;Vie
P025786;38985;125.5;Mobile Safari;iOS;iPhone;Vie
P025787;35018;68.5;Chrome;Windows;other;Vie
P025788;46582;132;Chrome;Windows;other;Vie
P025789;65428;57;Chrome;Windows;other;Vie
P025790;65423;60;Chrome Mobile;Android;other;Vie
P025791;44836;67;Safari;Mac OS X;other;Vie
P025792;65438;134.5;Chrome;Windows;other;Vie
P025793;35018;56;Chrome;Windows;other;Vie
P025794;65289;53.5;Chrome;Windows;other;Vie
P025795;42669;94;Chrome;Windows;other;Vie
P025796;65434;84;Firefox;Windows;other;Vie
P025797;65426;80;Chrome Mobile;Android;other;Vie
P025798;65443;66.5;Chrome Mobile;Android;other;Vie
P025799;47001;174;Chrome Mobile;Android;other;Vie
P025800;49159;109.5;Chrome Mobile;Android;other;Vie
P025801;38395;92;Mobile Safari;iOS;iPhone;Vie
P025802;65419;69;Chrome;Windows;other;Vie
P025803;65435;225;Mobile Safari;iOS;iPhone;Vie
P025804;50799;73.5;Samsung Internet;Android;Samsung;Vie
P025805;44356;98.5;Chrome Mobile;Android;other;Vie
P025806;65186;67.5;Mobile Safari;iOS;iPhone;Vie
P025807;65402;98;Mobile Safari;iOS;iPhone;Vie
P025808;35234;91.5;Mobile Safari;iOS;iPhone;Vie
P025809;65449;67;Mobile Safari;iOS;iPhone;Vie
P025810;56043;141;Samsung Internet;Android;Samsung;Vie
P025811;35018;56;Chrome;Windows;other;Vie
P025812;36480;189;Chrome Mobile iOS;iOS;iPhone;Vie
P025813;46336;80.5;Mobile Safari;WKWebView;iOS;Vie
P025814;65454;63;Chrome Mobile;Android;other;Vie
P025815;65452;54.5;Mobile Safari;iOS;iPhone;Vie
P025816;65461;95;Chrome;Windows;other;Vie
P025817;65457;67.5;Chrome;Windows;other;Vie
P025818;56785;85;Chrome;Windows;other;Vie
P025819;60351;62;Chrome;Windows;other;Vie
P025820;53326;80;Chrome;Windows;other;Vie
P025821;41848;301.5;Mobile Safari;iOS;iPhone;Vie
P025822;34263;216.5;Mobile Safari;iOS;iPhone;Vie
P025823;63044;147;Chrome;Windows;other;Vie
P025824;65467;54;Chrome;Windows;other;Vie
P025825;44101;59;Mobile Safari;iOS;iPhone;Vie
P025826;65463;75.5;Chrome;Windows;other;Vie
P025827;54104;69;Mobile Safari;iOS;iPhone;Vie
P025828;33869;119;Chrome;Windows;other;Vie
P025829;65418;62;Chrome;Android;other;Vie
P025830;47925;110;Chrome;Windows;other;Vie
P025831;37592;80;Chrome;Windows;other;Vie
P025832;65472;60;Chrome;Windows;other;Vie
P025833;40733;54.5;Mobile Safari;iOS;iPhone;Vie
P025834;57944;134.5;Chrome;Windows;other;Vie
P025835;55335;55;Chrome;Windows;other;Vie
P025836;65221;53;Firefox;Windows;other;Vie
P025837;65466;84;Samsung Internet;Android;Samsung;Vie
P025838;65431;80.5;Chrome;Windows;other;Vie
P025839;65480;99;Facebook;Android;other;Vie
P025840;41428;84;Chrome;Windows;other;Vie
P025841;57778;66.5;Mobile Safari;iOS;iPhone;Vie
P025842;46300;97;Mobile Safari;iOS;iPhone;Vie
P025843;56955;53;Chrome;Windows;other;Vie
P025844;65481;66.5;Chrome;Windows;other;Vie
