NroTrx;customerid;total;useragentbrowser;useragentoperatingsystem;useragentdevice;diasem
P000001;33632;136.3;Edge;Windows;other;Dom
P000002;33636;74.7;Chrome Mobile;Android;other;Dom
P000003;33513;69;Chrome Mobile;Android;other;Dom
P000004;33641;66.6;Chrome Mobile;Android;other;Dom
P000005;33596;56;Chrome;Windows;other;Dom
P000006;33588;64.3;Chrome;Windows;other;Dom
P000007;33655;107.9;Chrome Mobile;Android;LG;Dom
P000008;33667;73;Chrome;Windows;other;Dom
P000009;33670;165.1;Chrome Mobile;Android;other;Dom
P000010;33671;169;Chrome;Windows;other;Dom
P000011;33669;53;Safari;Mac OS X;other;Dom
P000012;33665;122.6;Firefox;Windows;other;Dom
P000013;33673;50.8;Chrome Mobile;Android;other;Dom
P000014;33672;53.3;Chrome;Windows;other;Dom
P000015;33674;83.5;Safari;Mac OS X;other;Dom
P000016;33677;93;Chrome;Windows;other;Dom
P000017;33678;186.7;Chrome;Windows;other;Dom
P000018;33679;53.3;Chrome Mobile;Android;other;Dom
P000019;33681;56;Chrome Mobile iOS;iOS;iPhone;Dom
P000020;33682;171.3;Safari;Mac OS X;other;Dom
P000021;33684;249.2;Mobile Safari;iOS;iPhone;Dom
P000022;33686;58;Chrome;Windows;other;Dom
P000023;33691;102.1;Mobile Safari;iOS;iPhone;Dom
P000024;33696;66;Mobile Safari;iOS;iPhone;Dom
P000025;33697;58.5;Chrome Mobile;Android;other;Dom
P000026;33699;143.5;Chrome Mobile;Android;other;Dom
P000027;33701;160.3;Mobile Safari;iOS;iPhone;Dom
P000028;33690;98;Mobile Safari;iOS;iPhone;Dom
P000029;33706;113.9;Chrome;Windows;other;Dom
P000030;33707;104.3;Facebook;Android;other;Dom
P000031;33709;57;Chrome;Mac OS X;other;Dom
P000032;33712;77;Mobile Safari;iOS;iPad;Dom
P000033;33715;97;Mobile Safari;iOS;iPhone;Lun
P000034;33716;129;Chrome;Windows;other;Lun
P000035;33718;92.4;Chrome Mobile;Android;other;Lun
P000036;33719;55;Facebook;Android;Samsung;Lun
P000037;33722;95.6;Facebook;Android;Samsung;Lun
P000038;33723;71;Firefox;Windows;other;Lun
P000039;33721;87;Chrome;Windows;other;Lun
P000040;33726;130.4;Chrome;Windows;other;Lun
P000041;33728;59;Chrome;Windows;other;Lun
P000042;33727;69.3;Mobile Safari;iOS;iPhone;Lun
P000043;33729;62;Chrome Mobile;Android;other;Lun
P000044;33730;109.5;Chrome Mobile iOS;iOS;iPhone;Lun
P000045;33732;59.5;Mobile Safari;iOS;iPhone;Lun
P000046;33733;139.1;Chrome Mobile;Android;other;Lun
P000047;33734;52.8;Chrome Mobile iOS;iOS;iPhone;Lun
P000048;33737;59.2;Mobile Safari;iOS;iPhone;Lun
P000049;33738;56.7;Chrome Mobile;Android;other;Lun
P000050;33739;141;Chrome;Windows;other;Lun
P000051;33742;60;Mobile Safari;WKWebView;iOS;Lun
P000052;33747;147.1;Mobile Safari;iOS;iPhone;Lun
P000053;33750;73.2;Mobile Safari;iOS;iPhone;Lun
P000054;33730;55;Chrome Mobile iOS;iOS;iPhone;Lun
P000055;33748;83.8;Edge;Windows;other;Lun
P000056;33744;107.5;Chrome;Windows;other;Lun
P000057;33741;99;Chrome;Windows;other;Lun
P000058;33751;78.4;Chrome;Windows;other;Lun
P000059;33746;70.8;Chrome;Windows;other;Lun
P000060;33753;62.6;Chrome;Windows;other;Lun
P000061;33752;69;Mobile Safari;iOS;iPhone;Lun
P000062;33757;76;Mobile Safari;WKWebView;iOS;Lun
P000063;33740;57;Chrome;Windows;other;Lun
P000064;33756;85.8;Chrome;Windows;other;Lun
P000065;33760;104.5;Chrome;Windows;other;Lun
P000066;33764;52.8;Safari;Mac OS X;other;Lun
P000067;33761;104.8;Mobile Safari;iOS;iPhone;Lun
P000068;33754;61.6;Mobile Safari;WKWebView;iOS;Lun
P000069;33766;56.6;Mobile Safari;WKWebView;iOS;Lun
P000070;33743;189.7;Chrome;Windows;other;Lun
P000071;33767;147;Chrome;Windows;other;Lun
P000072;33771;86;Chrome Mobile;Android;other;Lun
P000073;33768;59.5;Mobile Safari;iOS;iPhone;Lun
P000074;33758;87.5;Safari;Mac OS X;other;Lun
P000075;33774;84;Chrome;Windows;other;Lun
P000076;33778;103.5;Mobile Safari;WKWebView;iOS;Lun
P000077;33745;119;Chrome;Windows;other;Lun
P000078;33783;55;Chrome Mobile;Android;other;Lun
P000079;33780;52;Mobile Safari;iOS;iPhone;Lun
P000080;33785;71.3;Edge;Windows;other;Lun
P000081;33762;159;Chrome;Windows;other;Lun
P000082;33790;179.4;Samsung Internet;Android;Samsung;Lun
P000083;33788;55.6;Chrome;Windows;other;Lun
P000084;33755;145.2;Mobile Safari;WKWebView;iOS;Lun
P000085;33749;215;Chrome Mobile;Android;other;Lun
P000086;33789;96.8;Mobile Safari;iOS;iPhone;Lun
P000087;33776;170;Chrome Mobile;Android;other;Lun
P000088;33784;167.3;Mobile Safari;iOS;iPhone;Lun
P000089;33769;54;Chrome;Windows;other;Lun
P000090;33781;68.5;Edge;Windows;other;Lun
P000091;33787;90;Chrome;Windows;other;Lun
P000092;33796;64.8;Mobile Safari;iOS;iPhone;Lun
P000093;33793;144;Chrome;Windows;other;Lun
P000094;33797;110.8;Mobile Safari;iOS;iPhone;Lun
P000095;33803;57;Chrome;Windows;other;Lun
P000096;33808;132.5;Chrome Mobile;Android;other;Lun
P000097;33795;157.6;Chrome;Windows;other;Lun
P000098;33810;155;Mobile Safari;WKWebView;iOS;Lun
P000099;33801;150.8;Chrome Mobile;Android;other;Lun
P000100;33813;128;Mobile Safari;WKWebView;iOS;Lun
P000101;33786;148.4;Chrome Mobile;Android;other;Lun
P000102;33815;77;Chrome Mobile;Android;other;Lun
P000103;33805;97;Chrome;Windows;other;Lun
P000104;33799;139;Chrome Mobile;Android;other;Lun
P000105;33819;54.2;Mobile Safari;iOS;iPhone;Lun
P000106;33817;97.7;Chrome Mobile;Android;other;Lun
P000107;33814;120.5;Facebook;Android;Moto;Lun
P000108;33802;76.6;Chrome;Windows;other;Lun
P000109;33821;109;Chrome;Windows;other;Lun
P000110;33823;91;Chrome Mobile;Android;other;Lun
P000111;33804;112.5;Chrome;Mac OS X;other;Lun
P000112;33816;113.5;Mobile Safari;iOS;iPhone;Lun
P000113;33782;52.1;Chrome;Windows;other;Lun
P000114;33825;86;Chrome Mobile;Android;other;Lun
P000115;33802;76.6;Chrome;Windows;other;Lun
P000116;33828;170.4;Facebook;Android;Samsung;Lun
P000117;33800;73;Chrome;Windows;other;Lun
P000118;33830;54;Chrome;Windows;other;Lun
P000119;33831;85.5;Mobile Safari;iOS;iPhone;Lun
P000120;33826;101.5;Mobile Safari;iOS;iPhone;Lun
P000121;33811;227;Chrome;Mac OS X;other;Lun
P000122;33836;100;Mobile Safari;iOS;iPhone;Lun
P000123;33818;98.6;Chrome;Mac OS X;other;Lun
P000124;33833;266.6;Mobile Safari;iOS;iPhone;Lun
P000125;33835;59.3;Chrome;Mac OS X;other;Lun
P000126;33829;72.2;Chrome;Windows;other;Lun
P000127;33837;139.3;Chrome;Windows;other;Lun
P000128;33809;60;Chrome;Windows;other;Lun
P000129;33791;183.4;Chrome Mobile iOS;iOS;iPhone;Lun
P000130;33839;107;Chrome Mobile;Android;other;Lun
P000131;33807;103;Mobile Safari;iOS;iPhone;Lun
P000132;33847;96.7;Chrome;Windows;other;Lun
P000133;33772;74.5;Chrome;Windows;other;Lun
P000134;33844;151;Facebook;Android;Moto;Lun
P000135;33849;178;Chrome;Windows;other;Lun
P000136;33820;71.8;Safari;Mac OS X;other;Lun
P000137;33838;80;Chrome;Mac OS X;other;Lun
P000138;33852;51;Chrome;Windows;other;Lun
P000139;33846;68;Chrome;Windows;other;Lun
P000140;33850;79.5;Chrome;Mac OS X;other;Lun
P000141;33772;54.4;Chrome;Windows;other;Lun
P000142;33856;59.5;Mobile Safari;iOS;iPhone;Lun
P000143;33840;99.2;Chrome Mobile;Android;other;Lun
P000144;33861;100;Mobile Safari;iOS;iPhone;Lun
P000145;33858;146.8;Chrome;Windows;other;Lun
P000146;33862;53.9;Mobile Safari;iOS;iPhone;Lun
P000147;33763;127.3;Chrome;Windows;other;Lun
P000148;33848;99;Mobile Safari;iOS;iPhone;Lun
P000149;33866;61.6;Chrome;Windows;other;Lun
P000150;33854;50.2;Mobile Safari;iOS;iPhone;Lun
P000151;33865;56.5;Mobile Safari;iOS;iPhone;Lun
P000152;33864;116;Mobile Safari;iOS;iPhone;Lun
P000153;33860;73;Chrome Mobile;Android;other;Lun
P000154;33859;134.8;Chrome;Windows;other;Lun
P000155;33863;110.7;Safari;Mac OS X;other;Lun
P000156;33857;75;Chrome;Mac OS X;other;Lun
P000157;33871;95.1;Firefox;Windows;other;Lun
P000158;33878;59.4;Samsung Internet;Android;Samsung;Lun
P000159;33876;128;Chrome Mobile;Android;other;Lun
P000160;33872;99.5;Chrome;Windows;other;Lun
P000161;33879;59;Chrome;Windows;other;Lun
P000162;33884;55.5;Chrome Mobile;Android;other;Lun
P000163;33880;116;Mobile Safari;iOS;iPhone;Lun
P000164;33812;116.4;Mobile Safari;iOS;iPhone;Lun
P000165;33883;50.5;Chrome Mobile;Android;other;Lun
P000166;33887;57.6;Chrome;Windows;other;Lun
P000167;33888;58.5;Chrome Mobile;Android;other;Lun
P000168;33886;59.5;Chrome Mobile;Android;other;Lun
P000169;33882;143;Chrome;Windows;other;Lun
P000170;33877;198;Safari;Mac OS X;other;Lun
P000171;33893;67;Chrome;Windows;other;Lun
P000172;33890;76.7;Chrome Mobile;Android;other;Lun
P000173;33894;333.5;Mobile Safari;iOS;iPhone;Lun
P000174;33895;58;Chrome Mobile;Android;other;Lun
P000175;33891;107;Chrome;Android;other;Lun
P000176;33896;118.1;Mobile Safari;WKWebView;iOS;Lun
P000177;33898;60.7;Chrome;Windows;other;Lun
P000178;33892;78.1;Chrome Mobile;Android;other;Lun
P000179;33899;58;Chrome Mobile;Android;other;Lun
P000180;33889;64;Chrome;Windows;other;Lun
P000181;33900;97;Firefox;Windows;other;Lun
P000182;33901;109.8;Chrome;Windows;other;Lun
P000183;33889;64;Chrome;Windows;other;Lun
P000184;33906;75;Chrome;Mac OS X;other;Lun
P000185;33908;96;Chrome Mobile;Android;LG;Lun
P000186;33909;66.8;Mobile Safari;iOS;iPhone;Lun
P000187;33902;137.3;Safari;Mac OS X;other;Lun
P000188;33912;126.5;Chrome;Windows;other;Lun
P000189;33913;103.2;Chrome;Windows;other;Lun
P000190;33914;113.6;Chrome;Windows;other;Lun
P000191;33905;61;Chrome Mobile;Android;other;Lun
P000192;33916;1183.5;Safari;Mac OS X;other;Lun
P000193;33919;97;Chrome;Windows;other;Lun
P000194;33922;102.6;Firefox;Windows;other;Lun
P000195;33921;63;Chrome Mobile;Android;other;Lun
P000196;33928;59.1;Chrome;Mac OS X;other;Lun
P000197;33931;53.8;Chrome;Windows;other;Lun
P000198;33930;102.8;Facebook;iOS;iPhone;Lun
P000199;33927;50.3;Mobile Safari;iOS;iPhone;Lun
P000200;33926;75.3;Safari;Mac OS X;other;Lun
P000201;33933;58.5;Chrome;Mac OS X;other;Lun
P000202;33934;108.5;Chrome Mobile;Android;other;Lun
P000203;33932;63.8;Mobile Safari;iOS;iPhone;Lun
P000204;33923;79.3;Chrome;Windows;other;Lun
P000205;33935;80.3;Chrome;Windows;other;Lun
P000206;33937;132;Mobile Safari;iOS;iPhone;Lun
P000207;33936;135.6;Edge;Windows;other;Lun
P000208;33940;70.5;Chrome;Windows;other;Lun
P000209;33939;116;Chrome;Windows;other;Lun
P000210;33938;90;Chrome;Windows;other;Lun
P000211;33941;69.9;Mobile Safari;iOS;iPhone;Lun
P000212;33904;68;Chrome;Windows;other;Lun
P000213;33944;190.2;Mobile Safari;iOS;iPhone;Lun
P000214;33945;168.9;Samsung Internet;Android;Samsung;Lun
P000215;33918;54.5;Chrome;Windows;other;Lun
P000216;33947;216.3;Mobile Safari;iOS;iPad;Lun
P000217;33949;72.5;Chrome Mobile;Android;other;Lun
P000218;33950;101.5;Chrome;Windows;other;Lun
P000219;33948;85.6;Chrome;Windows;other;Lun
P000220;33942;51;Chrome;Mac OS X;other;Lun
P000221;33953;85;Chrome;Windows;other;Lun
P000222;33957;79.4;Mobile Safari;iOS;iPhone;Lun
P000223;33954;62.5;Edge;Windows;other;Lun
P000224;33958;92.3;Chrome Mobile iOS;iOS;iPhone;Lun
P000225;33959;53.8;Chrome;Windows;other;Lun
P000226;33961;50.7;Chrome Mobile;Android;other;Lun
P000227;33955;212.7;Chrome;Windows;other;Lun
P000228;33963;78.3;Chrome;Windows;other;Lun
P000229;33967;90.1;Chrome;Windows;other;Lun
P000230;33965;52.3;Chrome;Windows;other;Lun
P000231;33966;101.6;Chrome;Windows;other;Lun
P000232;33969;110.8;Chrome;Windows;other;Lun
P000233;33798;116;Chrome;Android;HUAWEI;Lun
P000234;33972;77.5;Chrome Mobile;Android;other;Lun
P000235;33973;82.8;Mobile Safari;iOS;iPad;Lun
P000236;33975;121.3;Chrome;Windows;other;Lun
P000237;33974;96.1;Chrome;Windows;other;Lun
P000238;33978;103;Chrome;Windows;other;Lun
P000239;33976;143.6;Safari;Mac OS X;other;Lun
P000240;33977;178.5;Edge;Windows;other;Lun
P000241;33980;151.4;Samsung Internet;Android;Samsung;Lun
P000242;33979;54.8;Chrome;Windows;other;Lun
P000243;33983;54.3;Chrome;Windows;other;Lun
P000244;33962;62.5;Chrome;Windows;other;Lun
P000245;33981;61;Chrome;Mac OS X;other;Lun
P000246;33970;103.1;Chrome;Windows;other;Lun
P000247;33984;54.3;Chrome;Windows;other;Lun
P000248;33986;207.1;Chrome;Windows;other;Lun
P000249;33987;61;Mobile Safari;iOS;iPhone;Lun
P000250;33988;67;Mobile Safari;iOS;iPhone;Lun
P000251;33994;56;Safari;Mac OS X;other;Lun
P000252;33993;51.2;Chrome Mobile;Android;other;Lun
P000253;33971;89.6;Safari;Mac OS X;other;Lun
P000254;33982;52;Chrome;Windows;other;Lun
P000255;33996;55;Mobile Safari;iOS;iPhone;Lun
P000256;34003;62;Mobile Safari;iOS;iPhone;Lun
P000257;34004;50.3;Chrome Mobile;Android;other;Lun
P000258;34006;61.8;Chrome;Mac OS X;other;Lun
P000259;34008;125.7;Chrome;Mac OS X;other;Lun
P000260;34010;50.7;Chrome;Windows;other;Lun
P000261;34011;90;Chrome Mobile;Android;other;Lun
P000262;34013;61.5;Facebook;Android;Samsung;Lun
P000263;34014;75;Facebook;iOS;iPhone;Lun
P000264;34018;75;Chrome Mobile;Android;other;Lun
P000265;33992;150.4;Chrome;Windows;other;Lun
P000266;34019;66;Samsung Internet;Android;Samsung;Lun
P000267;34020;54;Chrome;Windows;other;Lun
P000268;34017;62.5;Chrome;Windows;other;Lun
P000269;34023;62.4;Facebook;Android;other;Lun
P000270;33855;168.4;Safari;Mac OS X;other;Lun
P000271;34025;124.5;Chrome;Windows;other;Lun
P000272;33873;86;Chrome;Windows;other;Lun
P000273;34028;92.7;Chrome;Windows;other;Lun
P000274;34033;151.3;Mobile Safari;WKWebView;iOS;Lun
P000275;34030;78;Mobile Safari;iOS;iPhone;Lun
P000276;34032;57;Chrome Mobile;Android;other;Lun
P000277;34027;55.5;Chrome Mobile;Android;XiaoMi;Lun
P000278;34036;68.5;Chrome Mobile iOS;iOS;iPhone;Lun
P000279;34037;54.1;Chrome Mobile;Android;other;Lun
P000280;34039;58.5;Mobile Safari;iOS;iPhone;Lun
P000281;34041;87;Chrome;Windows;other;Lun
P000282;34040;101.5;Chrome;Windows;other;Lun
P000283;34042;213.6;Mobile Safari;iOS;iPhone;Lun
P000284;34020;100.4;Chrome;Windows;other;Lun
P000285;34045;90;Safari;Mac OS X;other;Lun
P000286;34047;55;Chrome;Windows;other;Lun
P000287;34035;92.8;Chrome Mobile;Android;other;Lun
P000288;34048;50;Chrome;Mac OS X;other;Lun
P000289;34049;56.3;Chrome;Windows;other;Lun
P000290;34051;112.5;Chrome;Windows;other;Lun
P000291;34055;101;Mobile Safari;iOS;iPhone;Lun
P000292;34057;53.7;Chrome Mobile;Android;LG;Lun
P000293;34058;132.8;Chrome;Windows;other;Lun
P000294;34059;58;Chrome Mobile;Android;other;Lun
P000295;34054;137.1;Firefox;Windows;other;Lun
P000296;34060;70;Chrome;Windows;other;Lun
P000297;34061;56.8;Chrome;Windows;other;Lun
P000298;34062;50;Mobile Safari;iOS;iPhone;Lun
P000299;34064;54.3;Chrome Mobile;Android;other;Lun
P000300;34066;72.3;Mobile Safari;iOS;iPhone;Lun
P000301;34065;77.6;Chrome;Windows;other;Lun
P000302;34067;90;Mobile Safari;iOS;iPhone;Lun
P000303;34069;113.4;Chrome;Windows;other;Lun
P000304;34070;100;Chrome;Windows;other;Lun
P000305;34071;54.5;Mobile Safari;iOS;iPhone;Lun
P000306;34074;112;Facebook;iOS;iPhone;Lun
P000307;34072;125;Mobile Safari;iOS;iPhone;Lun
P000308;34079;84.6;Samsung Internet;Android;Samsung;Lun
P000309;34075;51;Chrome Mobile;Android;other;Lun
P000310;34082;180.5;Chrome Mobile;Android;other;Lun
P000311;34084;50.7;Chrome;Windows;other;Lun
P000312;34088;65;Chrome Mobile iOS;iOS;iPhone;Lun
P000313;34085;81.4;Chrome Mobile;Android;other;Lun
P000314;34083;211;Edge;Windows;other;Lun
P000315;34087;103;Chrome Mobile;Android;other;Lun
P000316;34091;50.7;Chrome;Windows;other;Lun
P000317;34094;50.2;Chrome;Windows;other;Lun
P000318;34095;50.8;Chrome;Windows;other;Lun
P000319;34098;55.4;Chrome Mobile iOS;iOS;iPhone;Lun
P000320;34097;64.5;Chrome Mobile;Android;other;Lun
P000321;34080;65;Chrome;Windows;other;Lun
P000322;34100;62.3;Chrome Mobile;Android;other;Lun
P000323;34101;73;Chrome;Windows;other;Lun
P000324;34103;173.9;Chrome;Windows;other;Lun
P000325;34105;65.2;Chrome;Windows;other;Lun
P000326;34108;58.8;Mobile Safari;iOS;iPhone;Lun
P000327;34109;145.8;Chrome;Windows;other;Lun
P000328;34104;61;Chrome;Windows;other;Lun
P000329;34111;82.3;Chrome;Windows;other;Lun
P000330;34114;125.8;Chrome;Windows;other;Lun
P000331;34118;122.1;Mobile Safari;iOS;iPad;Lun
P000332;34122;146.5;Mobile Safari;iOS;iPhone;Lun
P000333;34117;50.8;Safari;Mac OS X;other;Lun
P000334;34124;63.6;Mobile Safari;iOS;iPhone;Lun
P000335;34120;73.5;Mobile Safari;iOS;iPhone;Lun
P000336;34126;159.5;Chrome Mobile iOS;iOS;iPhone;Lun
P000337;34130;84;Mobile Safari;iOS;iPhone;Lun
P000338;34131;66.4;Chrome Mobile;Android;other;Lun
P000339;34115;58;Chrome;Windows;other;Lun
P000340;34132;109;Chrome Mobile iOS;iOS;iPhone;Lun
P000341;34146;60.8;Mobile Safari;iOS;iPhone;Lun
P000342;34133;89.5;Samsung Internet;Android;Samsung;Lun
P000343;34142;95.7;Chrome Mobile;Android;other;Lun
P000344;34147;118;Chrome;Windows;other;Lun
P000345;34138;67;Chrome Mobile;Android;other;Lun
P000346;34154;106.1;Chrome;Windows;other;Lun
P000347;34153;59;Chrome;Windows;other;Lun
P000348;34155;54.3;Chrome;Windows;other;Lun
P000349;34157;53.3;Mobile Safari;iOS;iPhone;Lun
P000350;34089;97;Chrome;Windows;other;Lun
P000351;34128;53.7;Chrome Mobile;Android;other;Lun
P000352;34160;65.1;Mobile Safari;iOS;iPhone;Lun
P000353;34144;123;Mobile Safari;iOS;iPhone;Lun
P000354;34161;59.8;Chrome Mobile;Android;other;Lun
P000355;34165;62.1;Facebook;iOS;iPhone;Lun
P000356;34167;75;Mobile Safari;iOS;iPhone;Lun
P000357;34141;52;Mobile Safari;iOS;iPad;Lun
P000358;34164;61.6;Chrome Mobile;Android;other;Lun
P000359;34136;57.3;Chrome;Windows;other;Lun
P000360;34173;60;Mobile Safari;iOS;iPhone;Lun
P000361;34175;184.1;Chrome Mobile;Android;other;Lun
P000362;34171;96.7;Safari;Mac OS X;other;Lun
P000363;34170;61.5;Chrome;Windows;other;Lun
P000364;34156;79.5;Chrome;Windows;other;Lun
P000365;34166;88.5;Chrome;Windows;other;Lun
P000366;34127;76.1;Chrome;Windows;other;Lun
P000367;34179;88.6;Mobile Safari;iOS;iPhone;Lun
P000368;34178;85;Chrome;Windows;other;Lun
P000369;34180;93;Chrome;Windows;other;Lun
P000370;34184;136.3;Chrome;Windows;other;Lun
P000371;34121;78.9;Chrome;Windows;other;Lun
P000372;34186;129;Mobile Safari;iOS;iPhone;Lun
P000373;34188;131;Edge;Windows;other;Lun
P000374;34191;143.5;Chrome;Windows;other;Lun
P000375;34189;57.5;Chrome;Windows;other;Lun
P000376;34183;73;Mobile Safari;iOS;iPhone;Lun
P000377;34183;72.5;Mobile Safari;iOS;iPhone;Lun
P000378;34187;52.4;Chrome;Windows;other;Lun
P000379;34192;80.8;Chrome;Windows;other;Lun
P000380;34202;81.8;Facebook;Android;Samsung;Lun
P000381;34205;56;Chrome Mobile;Android;other;Lun
P000382;34200;61.6;Mobile Safari;WKWebView;iOS;Lun
P000383;34188;115;Edge;Windows;other;Lun
P000384;34201;56.3;Chrome Mobile;Android;other;Lun
P000385;34194;105.6;Chrome Mobile;Android;other;Lun
P000386;34206;166.1;Chrome;Windows;other;Lun
P000387;34207;53.3;Mobile Safari;WKWebView;iOS;Lun
P000388;34208;88;Firefox;Mac OS X;other;Lun
P000389;34177;67.8;Chrome;Windows;other;Lun
P000390;34224;86;Mobile Safari;WKWebView;iOS;Lun
P000391;34219;55.5;Facebook;Android;Samsung;Lun
P000392;34212;60;Facebook;Android;other;Lun
P000393;34231;80.1;Chrome;Mac OS X;other;Lun
P000394;34195;51.5;Chrome Mobile;Android;other;Lun
P000395;34221;91.8;Mobile Safari;iOS;iPhone;Lun
P000396;34209;76;Mobile Safari;WKWebView;iOS;Lun
P000397;34230;116.3;Chrome;Windows;other;Lun
P000398;34217;124.5;Chrome Mobile;Android;other;Lun
P000399;34181;194;Facebook;Android;Samsung;Lun
P000400;34237;61.6;Mobile Safari;WKWebView;iOS;Lun
P000401;34225;52.5;Mobile Safari;WKWebView;iOS;Lun
P000402;34229;57.2;Facebook;Android;other;Lun
P000403;34236;115;Mobile Safari;iOS;iPhone;Lun
P000404;34222;112;Chrome Mobile;Android;other;Lun
P000405;34247;83;Chrome;Windows;other;Lun
P000406;34253;62.5;Chrome Mobile;Android;other;Lun
P000407;34251;68.7;Facebook;Android;other;Lun
P000408;34245;53.7;Chrome;Windows;other;Lun
P000409;34210;102.8;Firefox;Windows;other;Lun
P000410;34242;52.8;Facebook;Android;other;Lun
P000411;34254;55.1;Chrome;Mac OS X;other;Lun
P000412;34235;53.8;Facebook;Android;Samsung;Lun
P000413;34223;59.5;Mobile Safari;iOS;iPhone;Lun
P000414;34246;91;Chrome;Windows;other;Lun
P000415;34213;70.7;Safari;Mac OS X;other;Lun
P000416;34243;53.3;Chrome;Windows;other;Lun
P000417;34260;82.4;Mobile Safari;WKWebView;iOS;Lun
P000418;34266;155;Chrome Mobile;Android;other;Lun
P000419;34259;113.3;Mobile Safari;iOS;iPhone;Lun
P000420;34263;153;Mobile Safari;iOS;iPhone;Lun
P000421;34258;70.5;Firefox;Windows;other;Lun
P000422;34216;128;Chrome;Windows;other;Lun
P000423;34275;97;Chrome;Windows;other;Lun
P000424;34279;86.9;Mobile Safari;WKWebView;iOS;Lun
P000425;34182;120.2;Chrome;Windows;other;Lun
P000426;34278;50.8;Chrome;Windows;other;Lun
P000427;34270;217.4;Mobile Safari;WKWebView;iOS;Lun
P000428;34282;53.3;Facebook;Android;Samsung;Lun
P000429;34257;76;Chrome;Windows;other;Lun
P000430;34280;73.6;Mobile Safari;iOS;iPhone;Lun
P000431;34215;50.8;Edge;Windows;other;Lun
P000432;34261;80.9;Mobile Safari;iOS;iPhone;Lun
P000433;34286;145.5;Chrome;Windows;other;Lun
P000434;34285;115.1;Chrome;Windows;other;Lun
P000435;34269;64.5;Mobile Safari;WKWebView;iOS;Lun
P000436;34287;167.2;Chrome Mobile;Android;other;Lun
P000437;34283;53.6;Chrome Mobile;Android;other;Lun
P000438;34268;50.8;Chrome;Android;other;Lun
P000439;34281;54;Mobile Safari;iOS;iPhone;Lun
P000440;34274;70;Chrome;Windows;other;Lun
P000441;34292;108.3;Chrome;Windows;other;Lun
P000442;34290;147;Mobile Safari;iOS;iPhone;Lun
P000443;34288;108.6;Chrome;Android;other;Lun
P000444;34286;61;Chrome;Windows;other;Lun
P000445;34303;57.8;Chrome;Windows;other;Lun
P000446;34255;133.6;Chrome;Windows;other;Lun
P000447;34311;81.8;Chrome;Windows;other;Lun
P000448;34316;126.1;Samsung Internet;Android;Samsung;Lun
P000449;34318;183;Chrome Mobile;Android;other;Lun
P000450;34298;53.2;Chrome;Windows;other;Lun
P000451;34320;58.5;Facebook;Android;Samsung;Lun
P000452;34302;103.1;Chrome;Mac OS X;other;Lun
P000453;34286;61;Chrome;Windows;other;Lun
P000454;34256;120.7;Chrome;Windows;other;Lun
P000455;34312;54.3;Chrome Mobile;Android;other;Lun
P000456;34329;55.5;Facebook;iOS;iPhone;Lun
P000457;34327;104.6;Mobile Safari;WKWebView;iOS;Lun
P000458;34325;118.7;Chrome Mobile;Android;other;Lun
P000459;34326;144.8;Facebook;iOS;iPhone;Lun
P000460;34328;68.7;Safari;Mac OS X;other;Lun
P000461;34335;89;Mobile Safari;iOS;iPhone;Lun
P000462;34310;70.5;Chrome;Windows;other;Lun
P000463;34334;123;Mobile Safari;iOS;iPhone;Lun
P000464;34336;50.3;Chrome;Windows;other;Lun
P000465;34330;105.3;Chrome Mobile;Android;other;Lun
P000466;34291;58.5;Chrome;Windows;other;Lun
P000467;34339;58;Mobile Safari;WKWebView;iOS;Lun
P000468;34337;126.9;Chrome Mobile;Android;other;Lun
P000469;34183;75.1;Mobile Safari;iOS;iPhone;Lun
P000470;34343;68;Facebook;Android;Moto;Lun
P000471;34314;98;Edge;Windows;other;Lun
P000472;34351;103.1;Chrome Mobile;Android;other;Lun
P000473;34309;58;Chrome;Windows;other;Lun
P000474;34348;72;Chrome Mobile;Android;other;Lun
P000475;34350;59;Mobile Safari;iOS;iPhone;Lun
P000476;34346;51;Mobile Safari;WKWebView;iOS;Lun
P000477;34353;68.5;Mobile Safari;iOS;iPhone;Lun
P000478;34354;81.3;Chrome Mobile;Android;other;Lun
P000479;34356;66.2;Chrome Mobile;Android;other;Lun
P000480;34359;86;Mobile Safari;WKWebView;iOS;Lun
P000481;34358;81.3;Facebook;Android;Samsung;Lun
P000482;34363;54.3;Mobile Safari;WKWebView;iOS;Lun
P000483;34361;51.3;Mobile Safari;iOS;iPhone;Lun
P000484;34370;112;Mobile Safari;iOS;iPhone;Lun
P000485;34373;63;Chrome;Windows;other;Lun
P000486;34367;139;Chrome Mobile;Android;other;Lun
P000487;34369;89;Mobile Safari;iOS;iPhone;Lun
P000488;34272;87.5;Safari;Mac OS X;other;Lun
P000489;34203;103;Chrome;Windows;other;Lun
P000490;34252;129.5;Safari;Mac OS X;other;Lun
P000491;34374;95.5;Chrome;Windows;other;Lun
P000492;34368;55.5;Mobile Safari;iOS;iPhone;Lun
P000493;34379;55;Mobile Safari;iOS;iPhone;Lun
P000494;34381;326.6;Mobile Safari;iOS;iPhone;Lun
P000495;34380;82.8;Mobile Safari;WKWebView;iOS;Lun
P000496;34377;87.5;Chrome;Windows;other;Lun
P000497;34362;171;Chrome;Windows;other;Lun
P000498;34365;104.8;Facebook;Android;other;Lun
P000499;34384;159.2;Mobile Safari;iOS;iPhone;Lun
